Pclass,Age,SibSp,Parch,Fare,Survived
3,0.15194835,0,0,-0.331365717,0
3,-0.601222193,0,0,-0.331251648,0
3,-1.012042489,1,0,-0.019290611,1
1,-0.738162292,1,0,-0.227904945,0
1,0.768178794,0,0,-0.042200271,1
2,-0.464282094,0,0,-0.31938845,0
2,-1.993218296,1,1,-0.315966374,1
1,1.384409238,2,0,-0.044139448,1
3,-0.806632341,0,0,-0.178038449,1
1,2.274519879,1,0,1.429481886,1
1,1.315939189,0,0,0.242498224,1
2,-0.121931848,0,1,-0.273760767,0
3,-1.765213032,0,1,-0.042959972,1
2,-0.327341996,0,1,-0.289730456,1
1,0.425828547,1,0,-0.169159302,0
3,-0.464282094,0,0,-0.328000676,0
3,0.015008251,0,0,-0.320586177,1
2,0.631238695,0,0,-0.31938845,0
1,1.795229534,0,0,-0.268057306,1
1,0.699708745,0,0,0.283371503,0
3,0.631238695,0,0,-0.293951017,0
2,-0.806632341,0,1,-0.296574609,1
3,-1.559802884,4,1,0.556377905,0
1,-0.190401897,1,0,-0.227904945,1
1,1.795229534,0,1,1.548113863,1
1,1.17899909,0,0,0.234702734,0
1,0.836648843,1,0,-0.230414467,0
2,-0.327341996,1,1,-0.280604919,1
3,1.452879287,0,0,-0.331365717,0
2,-1.97062318,0,2,0.495161523,1
1,0.425828547,0,0,-0.257505904,0
1,2.753810225,1,1,-0.187068168,0
1,-1.902153131,1,2,-0.003302671,0
3,-0.806632341,0,0,-0.171194296,0
1,1.521349337,1,0,1.436517674,1
2,-0.395812045,0,0,-0.31938845,1
1,-0.532752144,0,2,-0.236117928,1
2,-1.148982588,0,1,-0.304559453,1
3,-0.121931848,0,0,-0.327373295,0
3,0.973588942,0,0,-0.330681302,0
3,-0.806632341,0,1,-0.019290611,0
3,-0.806632341,1,0,-0.308437806,0
1,-0.327341996,1,2,-0.003302671,0
3,-1.987740692,2,1,0.090309366,1
3,0.699708745,1,4,-0.285395826,0
3,0.0834783,0,0,-0.331365717,0
1,-0.395812045,3,2,0.250957597,1
1,0.699708745,1,1,-0.042200271,1
3,2.411459978,0,0,-0.331365717,0
2,0.836648843,0,0,-0.31938845,0
2,0.0834783,0,0,-0.31938845,1
3,0.357358498,0,0,-0.332791583,0
1,1.315939189,1,0,1.683762686,1
1,0.0834783,1,0,-0.090622651,1
2,-1.833683081,1,1,-0.306270491,1
1,-0.738162292,1,0,1.728820024,1
3,0.973588942,0,1,-0.31231616,0
2,-1.902153131,1,1,-0.289730456,1
3,2.137579781,0,0,-0.206745106,0
2,0.0834783,1,1,-0.28916011,1
3,-2.010335809,0,1,-0.154747798,1
1,1.658289435,1,0,1.436517674,1
2,1.384409238,0,0,-0.31938845,0
1,0.494298597,0,1,-0.281289335,0
1,-1.765213032,0,2,1.518455869,1
3,-0.87510239,0,0,-0.15142154,0
3,0.015008251,0,0,-0.184120619,0
1,1.247469139,1,0,-0.258703631,1
1,2.411459978,0,0,-0.288475695,0
2,-0.121931848,0,0,-0.31938845,1
3,-0.395812045,2,0,-0.293951017,0
3,-1.765213032,4,2,-0.277696154,0
2,-0.738162292,0,0,-0.325091911,1
3,-0.327341996,0,0,-0.332563444,0
3,-0.738162292,0,0,-0.169291622,1
1,0.357358498,0,0,-0.288475695,1
3,1.076294016,0,0,-0.332563444,0
3,-0.053461798,0,0,-0.327373295,1
3,0.288888448,0,0,-0.200852291,0
1,1.384409238,1,0,-0.221517069,0
3,-0.738162292,0,0,-0.349046445,0
1,1.042058991,0,0,-0.268057306,0
3,-1.422862785,1,1,-0.001231174,0
1,1.247469139,1,0,1.401441392,1
2,-1.080512538,1,0,0.336984032,1
3,-0.121931848,0,0,-0.169861968,0
2,0.15194835,1,0,-0.289730456,1
3,0.15194835,0,0,0.939839804,1
3,-0.258871946,0,0,-0.169861968,1
3,0.631238695,1,5,-0.277696154,0
3,0.220418399,0,0,-0.331308683,0
2,-0.190401897,0,0,-0.289730456,0
3,-0.087696823,0,0,-0.31231616,0
3,0.905118893,1,6,-0.242049526,0
3,0.836648843,0,0,-0.331593856,0
2,1.521349337,0,0,-0.31938845,0
3,-0.669692242,1,0,-0.330966475,1
2,0.425828547,1,2,-0.285738034,0
3,0.15194835,0,0,0.939839804,1
3,0.768178794,0,2,0.112078334,0
2,0.357358498,0,0,-0.325091911,0
2,0.494298597,1,0,-0.289730456,0
3,-1.765213032,1,1,-0.095053099,1
1,-0.121931848,0,0,-0.288475695,1
2,2.20604983,0,0,-0.325091911,1
3,-0.601222193,0,0,-0.171194296,1
3,-0.121931848,0,0,-0.327373295,0
3,-1.97062318,1,2,-0.302106965,1
1,-0.053461798,0,0,4.472373866,1
3,-0.532752144,0,0,-0.331308683,1
1,1.247469139,0,0,0.242498224,1
2,-1.696742983,1,2,-0.285738034,1
3,-0.053461798,1,1,-0.110356624,0
3,-0.327341996,0,0,-0.172428525,0
2,-0.601222193,0,0,-0.325091911,1
2,-0.327341996,0,0,-0.31938845,0
3,0.15194835,0,0,-0.330966475,0
2,-1.559802884,0,2,-0.28916011,1
3,0.0834783,0,0,-0.330966475,1
1,-0.601222193,0,1,1.41417836,0
3,-0.258871946,2,0,-0.15142154,0
3,-0.94357244,0,0,-0.331365717,1
3,-0.327341996,0,0,-0.331593856,0
3,0.631238695,0,0,-0.330966475,0
3,-0.806632341,0,0,-0.331308683,0
1,0.0834783,0,2,3.412196382,1
2,1.452879287,0,0,-0.320472108,0
3,-0.669692242,0,0,-0.257505904,0
3,1.452879287,0,0,-0.330681302,0
2,0.015008251,0,0,-0.31938845,0
1,1.795229534,0,0,0.351242683,0
3,-0.464282094,0,0,-0.331821994,1
3,0.425828547,0,0,-0.349046445,0
1,0.631238695,1,1,2.18062763,1
3,-0.94357244,1,3,-0.270623863,0
3,0.015008251,0,0,-0.330681302,0
1,2.069109731,0,0,-0.288475695,0
1,1.315939189,1,0,1.401441392,1
2,0.425828547,0,0,-0.31938845,0
2,-0.94357244,0,0,-0.325091911,0
3,-0.806632341,1,1,-0.169861968,0
2,2.069109731,1,1,-0.260072462,0
3,-0.738162292,0,0,-0.168912912,0
1,0.357358498,0,0,11.33915092,1
3,-1.285922686,4,2,-0.277696154,0
3,0.973588942,0,0,-0.330966475,1
3,-0.806632341,0,0,-0.331365717,0
3,-0.258871946,0,0,-0.168912912,0
2,-0.053461798,0,0,-0.325091911,0
3,-0.190401897,0,2,-0.095053099,1
3,1.315939189,0,0,-0.349046445,0
1,1.17899909,0,0,-0.230414467,0
1,1.932169633,0,0,-0.281289335,0
1,-0.532752144,1,0,-0.197106258,1
2,-0.258871946,1,1,-0.289730456,0
3,0.699708745,1,1,-0.31368499,0
3,0.699708745,1,0,-0.32743033,0
3,-1.012042489,1,1,-0.184120619,0
3,-0.395812045,0,3,0.090309366,1
3,-1.080512538,0,0,-0.169861968,0
3,-0.669692242,0,0,-0.184120619,1
3,-0.87510239,4,2,-0.330966475,1
3,-0.738162292,0,0,-0.331593856,0
1,0.905118893,0,1,4.472373866,1
3,0.220418399,0,0,-0.168912912,0
3,1.384409238,0,0,-0.330681302,0
2,0.699708745,0,0,-0.31938845,1
1,0.631238695,0,0,-0.349046445,0
3,0.733943769,0,0,-0.331365717,0
3,0.631238695,0,0,-0.330966475,1
1,0.836648843,0,0,0.250672424,1
3,-0.532752144,0,0,-0.330681302,0
1,1.521349337,0,0,-0.279464227,1
2,1.247469139,0,0,-0.31938845,0
2,-0.532752144,1,2,0.59953485,1
1,-0.258871946,0,0,-0.169159302,1
1,-0.395812045,0,0,0.780334547,1
3,0.357358498,0,0,-0.332962686,0
3,-0.738162292,0,0,-0.117011422,0
3,0.220418399,0,0,-0.327373295,0
1,2.137579781,0,0,-0.272620075,0
1,-0.806632341,2,2,0.249531732,1
2,-0.327341996,0,0,-0.31938845,0
2,-0.190401897,1,0,-0.301137377,0
3,-1.628272933,0,1,-0.320586177,1
2,2.753810225,0,0,-0.325091911,0
1,-0.532752144,0,1,-0.223570315,1
2,-0.94357244,0,0,-0.289730456,0
2,0.0834783,0,0,-0.325091911,0
1,0.973588942,2,0,-0.143721868,0
2,-0.053461798,1,0,-0.301137377,0
3,-0.94357244,0,0,-0.138778108,0
1,0.425828547,0,0,0.250672424,1
1,-1.976100784,1,2,-0.003302671,1
2,-0.190401897,0,0,-0.31938845,0
1,-0.190401897,0,0,1.401441392,1
2,-0.121931848,0,0,-0.325091911,0
3,0.631238695,1,5,-0.277696154,0
1,0.357358498,1,0,-0.230414467,1
3,-0.053461798,0,0,-0.330681302,0
3,0.220418399,0,0,-0.168912912,0
1,-0.738162292,0,2,0.250576606,1
3,-0.601222193,0,0,-0.172620161,0
1,-0.738162292,0,0,-0.280604919,1
3,-1.012042489,0,0,-0.332563444,1
2,0.288888448,1,1,-0.274901459,1
3,0.323123473,0,0,-0.202182338,0
3,-0.87510239,0,0,-0.15142154,0
1,0.699708745,0,0,-0.349046445,0
3,-1.285922686,5,2,-0.242049526,0
3,-0.532752144,0,0,-0.332791583,0
1,1.658289435,1,0,-0.213532224,1
1,1.17899909,0,0,-0.261213154,0
3,0.425828547,0,0,-0.168912912,0
3,-0.327341996,0,0,-0.332962686,0
3,-0.327341996,0,0,-0.33250641,0
3,-0.121931848,1,0,-0.312886506,0
1,-0.395812045,0,0,-0.190946521,1
2,1.042058991,1,1,-0.28916011,1
3,-0.532752144,0,0,-0.171194296,0
3,-0.121931848,1,1,-0.316194513,0
3,-0.532752144,0,0,-0.168912912,0
1,0.015008251,0,0,-0.151706713,1
3,0.494298597,2,0,-0.330966475,0
1,0.973588942,0,1,0.973681857,1
1,0.494298597,1,0,-0.227904945,0
2,-0.327341996,1,0,-0.289730456,0
2,-0.190401897,0,0,-0.31938845,0
3,0.699708745,0,0,-0.168912912,0
2,-0.464282094,0,0,-0.005793943,0
1,0.220418399,0,0,-0.337639524,0
3,-0.258871946,0,0,-0.331308683,0
3,0.220418399,0,0,-0.15142154,0
3,-0.806632341,0,1,-0.327715503,1
1,1.17899909,0,0,0.427098707,0
1,0.357358498,1,0,-0.143721868,1
3,0.357358498,1,1,-0.302848415,1
1,-1.285922686,1,2,-0.075280342,1
3,-1.285922686,0,0,0.07956861,0
3,-0.532752144,0,0,-0.327715503,0
1,1.521349337,1,1,-0.135737023,1
1,0.425828547,0,2,-0.187068168,1
3,-0.395812045,0,0,-0.178038449,0
2,0.015008251,0,0,-0.32087135,1
3,0.288888448,0,0,-0.330681302,0
2,-1.491332834,0,2,-0.28916011,1
2,-1.982263088,0,2,-0.282886303,1
1,0.425828547,0,1,11.33915092,1
2,0.015008251,1,0,-0.294293224,0
2,1.726759485,0,0,-0.312544298,1
1,2.137579781,0,0,0.388315176,0
3,-0.806632341,0,0,-0.330110956,0
1,0.15194835,0,0,1.391460337,1
1,-0.395812045,0,0,1.548113863,1
3,-1.97062318,5,2,-0.242049526,0
1,-0.87510239,0,2,2.18062763,1
3,0.15194835,0,0,-0.330966475,0
2,-0.738162292,0,0,-0.325091911,0
3,-0.601222193,2,2,-0.270623863,0
2,-0.121931848,1,0,-0.289730456,1
3,0.015008251,0,0,-0.327373295,1
3,-0.053461798,0,4,-0.300966273,0
3,-0.327341996,0,0,-0.168912912,0
3,2.274519879,0,0,-0.130318736,1
1,0.357358498,0,0,2.745270217,1
1,0.699708745,0,0,-0.278323535,1
3,-0.94357244,0,0,-0.172620161,1
1,0.425828547,0,0,0.252953808,1
1,-0.806632341,1,0,0.170025493,1
2,-1.491332834,1,1,-0.265205576,1
2,-0.601222193,0,0,-0.181364707,0
2,-0.532752144,1,1,-0.282886303,1
3,2.000639682,0,0,-0.33250641,0
3,-0.94357244,1,1,-0.302848415,0
1,0.562768646,0,0,0.170025493,1
1,1.932169633,0,0,2.99365592,1
3,-0.87510239,0,0,-0.15142154,0
1,0.494298597,1,1,0.849916765,1
3,0.220418399,3,0,-0.312886506,1
3,-1.902153131,4,1,-0.28260113,0
1,0.631238695,1,1,1.548113863,1
3,-0.87510239,1,1,-0.184120619,0
3,0.768178794,0,5,0.556377905,0
3,0.425828547,1,1,-0.293951017,0
2,0.425828547,0,0,-0.31938845,1
3,-0.669692242,0,0,-0.12442592,0
2,-0.395812045,2,3,-0.306270491,1
1,0.973588942,0,0,0.283371503,1
3,0.15194835,1,0,-0.312886506,0
3,-1.902153131,4,2,-0.277696154,0
1,0.562768646,0,0,-0.16653571,1
3,-0.053461798,0,0,-0.331080544,0
2,0.357358498,0,0,-0.301137377,1
3,-0.806632341,0,0,-0.333647102,0
3,-0.738162292,0,0,-0.168912912,0
1,0.836648843,1,0,0.849916765,1
1,-0.738162292,3,2,0.250957597,0
3,-0.532752144,0,0,-0.331365717,1
3,-0.601222193,0,0,-0.169861968,0
3,0.220418399,1,1,-0.302221034,0
3,-0.669692242,1,0,-0.326631845,0
2,0.699708745,1,1,-0.260072462,1
3,-0.190401897,0,0,-0.33313379,1
3,0.494298597,0,0,-0.130318736,0
3,-0.36157702,0,0,-0.330681302,0
1,0.015008251,0,0,-0.106250133,1
3,0.15194835,1,1,-0.31368499,0
3,-0.121931848,0,0,0.939839804,0
2,0.836648843,1,0,-0.287449072,0
2,0.460063572,0,2,-0.289730456,0
2,0.015008251,0,0,-0.31938845,0
1,1.315939189,1,0,0.949727323,1
2,0.905118893,1,1,-0.28916011,0
3,-0.669692242,0,0,-0.332962686,0
2,0.973588942,1,0,-0.289730456,0
2,-0.395812045,2,1,-0.287449072,1
1,-0.806632341,1,0,-0.100603707,0
3,-0.94357244,0,0,-0.327373295,0
1,1.384409238,0,0,0.30599599,0
3,1.452879287,0,0,-0.188113041,0
3,-0.738162292,0,0,-0.331308683,0
2,1.658289435,0,0,-0.317107066,0
3,-0.94357244,0,0,-0.330681302,0
3,-1.765213032,3,2,-0.285395826,0
3,0.15194835,0,0,-0.168912912,0
3,-0.258871946,0,0,-0.169102267,0
1,0.15194835,0,0,-0.279464227,1
3,0.288888448,1,1,-0.316194513,0
2,-0.395812045,2,0,-0.181364707,0
2,1.247469139,1,2,-0.200756473,1
2,-0.053461798,1,0,-0.289730456,1
2,0.015008251,0,0,-0.31938845,0
3,-0.87510239,1,0,-0.188113041,0
2,-0.464282094,0,0,-0.325091911,0
3,-0.395812045,1,0,-0.312886506,1
3,0.15194835,0,0,-0.158265692,0
1,0.562768646,1,0,1.277199491,1
3,-0.94357244,5,2,-0.242049526,0
3,-0.532752144,0,0,-0.109120114,0
3,-0.669692242,0,0,-0.15142154,0
2,1.17899909,0,0,-0.314825682,0
3,-1.902153131,0,1,-0.110356624,0
3,-0.43004707,0,0,-0.184120619,0
2,0.15194835,2,0,-0.181364707,0
1,2.20604983,0,0,-0.16653571,1
2,-0.121931848,0,0,-0.31938845,1
1,-0.395812045,0,0,-0.168360817,0
3,1.17899909,0,0,-0.33250641,0
3,-0.806632341,0,0,-0.124519457,1
2,0.425828547,0,0,-0.325091911,0
3,-1.012042489,0,0,-0.165869546,1
3,-0.121931848,0,0,-0.168912912,0
2,1.384409238,0,1,-0.289730456,1
1,1.932169633,0,2,-0.090622651,0
1,0.357358498,0,0,0.250672424,1
2,0.631238695,0,0,-0.289730456,0
2,0.0834783,1,1,-0.28916011,0
2,0.0834783,1,1,0.495161523,0
3,-0.190401897,0,0,-0.330966475,1
3,-0.738162292,0,0,-0.168912912,0
2,-0.053461798,0,0,-0.325091911,1
2,-0.395812045,1,0,-0.289730456,1
3,1.042058991,1,4,-0.285395826,0
2,0.220418399,0,0,-0.321042454,0
3,-1.080512538,4,1,0.556377905,0
2,0.288888448,0,0,-0.31938845,0
1,0.220418399,1,0,-0.143721868,1
2,-0.395812045,0,0,-0.31938845,0
3,-0.258871946,0,0,-0.168912912,0
3,3.027690422,0,0,-0.331308683,0
1,1.452879287,0,1,1.051248919,0
3,-0.395812045,0,0,-0.328856195,0
3,-0.601222193,0,0,-0.331308683,0
3,-0.532752144,0,0,-0.33250641,0
3,0.015008251,0,0,-0.168912912,0
1,1.247469139,0,0,-0.288475695,1
3,-0.395812045,0,0,-0.327373295,0
2,-0.121931848,0,0,-0.318247758,0
1,-0.601222193,0,0,1.429481886,1
1,0.015008251,0,0,0.949727323,1
1,-1.080512538,1,2,-0.075280342,1
2,2.000639682,0,0,-0.318247758,0
1,1.110529041,0,0,-0.168360817,0
3,1.247469139,0,0,-0.169861968,0
1,-0.94357244,0,0,-0.151706713,1
2,-0.464282094,0,0,-0.034404782,1
1,0.220418399,0,0,-0.151706713,1
1,-0.464282094,0,1,1.096399794,1
3,1.247469139,1,3,-0.270623863,0
3,-1.902153131,3,1,-0.300966273,0
3,0.905118893,0,0,-0.330681302,0
3,-1.97062318,4,1,0.556377905,0
2,-1.902153131,1,1,-0.289730456,1
3,-0.669692242,0,0,-0.330681302,0
3,-1.765213032,0,2,-0.298798958,1
3,-0.464282094,0,0,-0.168912912,0
1,1.042058991,1,1,3.412196382,1
2,0.288888448,0,1,-0.296574609,1
1,1.042058991,0,0,-0.288475695,1
1,0.425828547,1,2,-0.075280342,1
3,0.0834783,0,0,-0.169861968,0
3,0.288888448,0,0,-0.330681302,0
3,0.049243276,0,0,-0.330681302,0
2,0.973588942,1,0,-0.289730456,0
1,2.342989929,1,4,0.250957597,0
3,-0.738162292,0,0,-0.330681302,0
2,-0.121931848,1,0,-0.294293224,1
3,-0.669692242,0,0,-0.327373295,0
3,-0.395812045,0,2,-0.310947329,1
3,-0.464282094,0,0,-0.169861968,0
3,0.836648843,0,1,-0.157314355,0
3,0.015008251,0,0,-0.332563444,0
3,-0.327341996,1,0,-0.308437806,0
3,-0.601222193,0,0,-0.156650472,0
3,-0.738162292,0,0,-0.315966374,0
3,-0.327341996,1,0,-0.331308683,1
1,1.658289435,0,1,1.41417836,0
1,2.822280274,0,0,0.441548995,0
2,0.220418399,0,2,-0.289730456,1
3,-0.121931848,0,0,-0.171194296,0
3,-0.258871946,1,0,-0.019290611,0
2,0.015008251,3,0,-0.301137377,1
1,1.726759485,0,0,-0.279464227,0
3,-0.669692242,0,0,-0.15142154,0
3,-1.97062318,1,1,-0.095053099,1
3,-0.053461798,0,0,-0.331308683,0
2,-0.87510239,0,0,-0.325091911,1
2,-1.833683081,1,2,0.59953485,1
2,-1.97062318,2,1,-0.260072462,1
2,1.384409238,0,0,-0.325091911,1
3,-0.121931848,2,0,-0.330966475,0
3,0.220418399,0,0,-0.151610894,0
2,0.836648843,1,0,-0.289730456,1
1,1.452879287,0,0,-0.288475695,1
3,-1.491332834,3,1,-0.300966273,0
3,-1.217452637,1,0,-0.092580079,1
1,-0.94357244,0,1,0.973681857,1
3,-0.532752144,0,0,-0.184120619,0
3,-0.464282094,0,0,-0.330966475,0
3,-0.94357244,4,1,0.556377905,0
3,-1.765213032,1,1,-0.310947329,1
2,-0.395812045,0,0,-0.325091911,0
3,-1.080512538,5,2,-0.242049526,0
1,-0.121931848,1,0,1.525585194,0
3,-0.635457218,0,0,-0.33250641,0
2,0.288888448,1,0,-0.301137377,0
3,0.15194835,0,0,-0.330966475,1
2,1.863699583,0,0,-0.366516234,0
