Survived,Pclass,Age,SibSp,Parch,Fare,Normalized
1,3,22,0,0,7.25,-0.375783492
1,2,32,0,0,13,-0.359387574
0,3,21,0,0,7.75,-0.37435776
0,3,31,0,0,7.775,-0.374286474
1,3,26,0,0,7.925,-0.373858754
0,3,8,4,1,29.125,-0.313407717
1,1,25,1,0,910.792,2.200634001
0,1,30,0,0,27.75,-0.31732848
0,3,30,0,0,8.05,-0.373502321
1,2,18,0,2,13,-0.359387574
0,3,28,0,0,78.958,-0.171310711
0,3,22,0,0,75.208,-0.182003701
0,2,54,0,0,26,-0.322318542
1,3,25,0,0,0,-0.396456607
1,1,23,1,0,113.275,-0.073457021
1,3,18,0,0,8.05,-0.373502321
1,3,31,0,0,86.833,-0.148855432
0,3,22,0,0,8.05,-0.373502321
1,2,19,1,0,26,-0.322318542
0,3,41,2,0,141.083,0.00583649
1,3,27,0,0,86.625,-0.149448537
0,1,45,1,0,83.475,-0.158430648
1,1,17,1,0,57,-0.233923158
0,3,20,0,0,7.925,-0.373858754
0,2,25,0,0,13,-0.359387574
1,3,5,4,2,313.875,0.498546659
0,3,45,0,0,6.975,-0.376567645
0,3,21,0,0,8.05,-0.373502321
1,3,14,1,0,112.417,-0.075903577
1,2,0.83,1,1,18.75,-0.342991656
1,1,35,1,0,83.475,-0.158430648
0,3,19,0,0,81.583,-0.163825618
0,2,18,0,0,13,-0.359387574
0,2,19,1,1,36.75,-0.291665304
0,2,18,0,0,11.5,-0.36366477
1,1,18,0,2,79.65,-0.169337498
1,1,48,1,0,52,-0.248180478
0,1,24,0,1,"2,475.21",6.661509921
1,3,27,0,0,77.958,-0.174162175
1,1,27,0,0,30.5,-0.309486954
0,3,38,0,0,86.625,-0.149448537
0,3,45,0,0,7.75,-0.37435776
0,3,22,0,0,7.25,-0.375783492
1,1,47,1,1,525.542,1.102107492
1,2,42,0,0,13,-0.359387574
0,3,10,0,2,24.15,-0.327593751
0,3,21,0,0,86.625,-0.149448537
0,2,66,0,0,10.5,-0.366516234
1,3,45,0,0,8.05,-0.373502321
1,1,16,0,1,39.4,-0.284108925
0,1,45,0,0,26.55,-0.320750237
0,3,26,1,0,16.1,-0.350548036
0,3,29,0,0,94.833,-0.12604372
0,3,20,0,0,9.225,-0.370151851
1,3,16,0,0,8.05,-0.373502321
1,2,4,2,1,39,-0.28524951
0,3,16,2,0,18,-0.345130254
1,3,24,0,0,71.417,-0.192813601
0,3,18,1,0,64.958,-0.211231207
0,2,21,2,0,73.5,-0.186874002
0,1,28,0,0,47.1,-0.262152652
0,2,34,1,0,21,-0.336575862
1,3,36,1,0,17.4,-0.346841133
0,3,21,0,0,7.25,-0.375783492
0,3,28,0,0,78.958,-0.171310711
1,1,36,1,2,120,-0.054280925
0,2,28,0,0,13,-0.359387574
1,3,29,0,0,78.958,-0.171310711
1,2,36,1,0,26,-0.322318542
0,3,2,3,2,27.9,-0.316900761
0,1,52,1,1,79.65,-0.169337498
1,2,34,0,0,13,-0.359387574
0,3,39,0,5,29.125,-0.313407717
0,3,28,0,0,22.525,-0.33222738
1,2,36,0,0,13,-0.359387574
1,1,38,1,0,90,-0.139824846
0,2,35,0,0,26,-0.322318542
1,3,9,0,2,20.525,-0.337930308
0,3,36,1,0,15.55,-0.352116341
0,3,41,0,0,7.125,-0.376139925
1,2,27,0,0,10.5,-0.366516234
0,1,31,1,0,52,-0.248180478
1,1,58,0,1,"1,534.63",3.979471348
0,3,27,0,0,78.958,-0.171310711
1,1,39,1,0,55.9,-0.237059768
0,3,31,1,0,18,-0.345130254
1,3,38,1,5,313.875,0.498546659
0,3,19,0,0,6.75,-0.377209224
1,2,34,0,0,13,-0.359387574
0,2,36,0,0,12.875,-0.359744007
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
